time ave_stress_top disp_y_top force_y
0 0 0 0
0.0005 4.4477251262141 0.0005 7116.3602019425
0.00075 6.6715439000811 0.00075 10674.47024013
0.00105 9.3400850107126 0.00105 14944.13601714
0.00141 12.542222581228 0.00141 20067.556129964
0.001842 16.384566320611 0.001842 26215.306112978
0.0023604 20.994955377106 0.0023604 33591.92860337
0.00298248 26.526631210984 0.00298248 42442.609937575
0.003728976 33.163194726307 0.003728976 53061.111562091
0.0046247712 41.124445642975 0.0046247712 65799.113028761
0.0056247712 50.006860321765 0.0056247712 80010.976514824
0.0066247712 58.881527241295 0.0066247712 94210.443586072
0.0076247712 67.747881995789 0.0076247711999999 108396.61119326
0.0086247712 76.604531974939 0.0086247712 122567.2511599
0.0096247712 85.450093775638 0.0096247712000001 136720.15004102
0.0106247712 94.283177977077 0.0106247712 150853.08476332
0.0116247712 103.10240896938 0.0116247712 164963.85435101
0.0126247712 111.9064021527 0.0126247712 179050.24344432
0.0136247712 120.69378923022 0.0136247712 193110.06276835
0.0146247712 129.46319947973 0.0146247712 207141.11916758
0.0156247712 138.21326496347 0.0156247712 221141.22394154
0.0166247712 146.94262718236 0.0166247712 235108.20349177
0.0176247712 155.64992648381 0.0176247712 249039.88237409
0.0186247712 164.33381903645 0.0186247712 262934.11045832
0.0196247712 172.99295414929 0.0196247712 276788.72663887
0.0206247712 181.62600001862 0.0206247712 290601.6000298
0.0216247712 190.23161429546 0.0216247712 304370.58287274
0.0226247712 198.80847876759 0.0226247712 318093.56602815
0.0236247712 207.3552706729 0.0236247712 331768.43307664
0.0246247712 215.87067532755 0.0246247712 345393.08052409
0.0256247712 224.35339156711 0.0256247712 358965.42650737
0.0266247712 232.80211945345 0.0266247712 372483.39112551
0.0276247712 241.21556367505 0.0276247712 385944.90188008
0.0286247712 249.5924444465 0.0286247712 399347.9111144
0.0296247712 257.93148431267 0.0296247712 412690.37490028
0.0306247712 266.23141608938 0.0306247712 425970.26574301
0.0316247712 274.49097889602 0.0316247712 439185.56623363
0.0326247712 282.7089161421 0.0326247712 452334.26582736
0.0336247712 290.88398806066 0.0336247712 465414.38089705
0.0346247712 299.01495390067 0.0346247712 478423.92624107
0.0356247712 307.10058686794 0.035624771199999 491360.93898871
0.0366247712 315.13966299911 0.0366247712 504223.46079858
0.0376247712 323.13096854413 0.0376247712 517009.54967061
0.0386247712 331.07329705005 0.038624771199999 529717.27528008
0.0396247712 338.96544847026 0.0396247712 542344.71755242
0.0406247712 346.80622980764 0.0406247712 554889.96769223
0.0416247712 354.59445324996 0.041624771199999 567351.12519994
0.0426247712 362.328939638 0.0426247712 579726.30342081
0.0436247712 370.0085117952 0.0436247712 592013.61887233
0.0446247712 377.63200061278 0.044624771199999 604211.20098044
0.0456247712 385.19823813054 0.0456247712 616317.18100887
0.0466247712 392.7060634956 0.046624771200001 628329.70159297
0.0476247712 400.15431357892 0.047624771199999 640246.90172628
0.0486247712 407.54182821853 0.0486247712 652066.92514965
0.0496247712 414.86744695685 0.049624771200001 663787.91513096
0.0506247712 422.13000966163 0.0506247712 675408.01545862
0.0516247712 429.32834956768 0.0516247712 686925.3593083
0.0526247712 436.4612958233 0.052624771200001 698338.07331728
0.0536247712 443.5276684314 0.0536247712 709644.26949024
0.0546247712 450.52627773621 0.054624771199999 720842.04437793
0.0556247712 457.45591785019 0.055624771200001 731929.4685603
0.0566247712 464.31536726418 0.0566247712 742904.58762268
0.0576247712 471.10337920653 0.057624771199999 753765.40673046
0.0586247712 477.8186791602 0.058624771200001 764509.88665633
0.0596247712 484.45995872978 0.0596247712 775135.93396765
0.0606247712 491.02586150217 0.060624771199999 785641.37840348
0.0616247712 497.5149824068 0.061624771200001 796023.97185089
0.0626247712 503.92584642858 0.0626247712 806281.35428573
0.0636247712 510.25689752434 0.063624771199999 816411.03603894
0.0646247712 516.50647607472 0.0646247712 826410.36171956
0.0656247712 522.67279463048 0.0656247712 836276.47140877
0.0666247712 528.75390166063 0.066624771199999 846006.24265702
0.0676247712 534.74763609672 0.0676247712 855596.21775475
0.0686247712 540.6515585334 0.0686247712 865042.49365344
0.0696247712 546.46286353543 0.069624771199999 874340.58165668
0.0706247712 552.17824081895 0.070624771200001 883485.18531032
0.0716247712 557.79367031584 0.0716247712 892469.87250535
0.0726247712 563.30408495706 0.072624771199999 901286.5359313
0.0736247712 568.70282982036 0.073624771200001 909924.52771258
0.0746247712 573.9806798579 0.0746247712 918369.08777264
0.0756247712 579.1240909601 0.075624771199999 926598.54553617
0.0766247712 584.11214880409 0.076624771200001 934579.43808655
0.0776247712 588.91311475295 0.0776247712 942260.98360472
0.0786247712 593.48892979976 0.078624771199999 949582.28767962
0.0796247712 597.81526244227 0.079624771200001 956504.41990763
0.0806247712 601.89030200396 0.0806247712 963024.48320635
0.0816247712 605.67360100644 0.081624771199999 969077.76161031
0.0821247712 605.39603774604 0.0821247712 968633.66039366
0.0827247712 606.72328257834 0.0827247712 970757.25212534
0.0834447712 608.26188540287 0.0834447712 973219.0166446
0.0843087712 609.754821454 0.0843087712 975607.7143264
0.0847407712 606.39707010833 0.084740771200001 970235.31217333
0.0849567712 600.53545681234 0.084956771199999 960856.73089974
0.0850647712 591.99647524768 0.0850647712 947194.3603963
0.0851727712 580.57555246549 0.085172771200001 928920.88394478
0.0852267712 565.92685559841 0.085226771199999 905482.96895746
0.0852537712 548.24934141146 0.085253771200001 877198.94625834
0.0852672712 530.52714288567 0.0852672712 848843.42861707
0.0852740212 512.62423450761 0.0852740212 820198.77521218
0.0852773962 495.36984676526 0.085277396199999 792591.75482442
0.0852790837 480.08742117151 0.085279083700001 768139.87387442
0.08527992745 466.56361113924 0.085279927450001 746501.77782279
0.085280349325 453.16999841687 0.085280349325001 725071.99746699
0.0852805602625 438.99159891879 0.085280560262499 702386.55827006
0.08528066573125 423.39708673434 0.085280665731249 677435.33877495
0.085280718465625 406.0102067128 0.085280718465626 649616.33074048
0.085280744832813 387.34920715313 0.085280744832814 619758.73144501
0.085280758016406 367.5940393905 0.085280758016408 588150.4630248
0.085280764608203 347.13293605304 0.085280764608202 555412.69768487
0.085280767904102 325.95473010665 0.085280767904101 521527.56817064
0.085280769552051 305.6269620625 0.085280769552051 489003.1393
0.085280770376025 288.00937902158 0.085280770376026 460815.00643454
0.085280770788013 273.34916860566 0.085280770788013 437358.66976905
0.085280770994006 262.92158169997 0.085280770994005 420674.53071995
0.085280771097003 256.19763522615 0.085280771097004 409916.21636185
0.085280771148502 251.70706919453 0.085280771148503 402731.31071125
0.085280771174251 248.80346939662 0.085280771174252 398085.55103459
0.085280771187125 247.01424533729 0.085280771187125 395222.79253967
0.085280771193563 245.982365108 0.085280771193562 393571.7841728
0.085280771196781 245.42544720934 0.08528077119678 392680.71553494
0.0852807712 244.89506517492 0.0852807712 391832.10427987
0.085280771203219 244.38262418059 0.085280771203218 391012.19868894
0.085280771206437 243.88441231024 0.085280771206437 390215.05969639
0.085280771209656 243.39814257635 0.085280771209655 389437.02812216
0.085280771212875 242.92244377651 0.085280771212875 388675.91004242
0.085280771216093 242.45624922151 0.085280771216092 387929.99875442
0.085280771219312 241.99823238446 0.085280771219312 387197.17181514
0.085280771222531 241.54674413758 0.08528077122253 386474.79062012
0.085280771225749 241.10000942134 0.085280771225749 385760.01507414
0.085280771228968 240.65618538975 0.085280771228967 385049.89662361
0.085280771232187 240.21342164681 0.085280771232186 384341.4746349
0.085280771235405 239.77177462562 0.085280771235404 383634.83940099
0.085280771238624 239.34266553523 0.085280771238624 382948.26485636
0.085280771240233 239.11817134019 0.085280771240234 382589.07414431
0.085280771241842 238.89847827899 0.085280771241841 382237.56524638
0.085280771243774 238.64271913756 0.085280771243774 381828.3506201
0.085280771245705 238.38957401397 0.085280771245706 381423.31842236
0.085280771247153 238.18798887821 0.085280771247154 381100.78220514
0.085280771248264 238.0300572356 0.085280771248264 380848.09157696
0.085280771249557 237.85209002538 0.085280771249558 380563.34404061
0.085280771251131 237.64161658437 0.085280771251131 380226.58653499
0.085280771252775 237.42786599954 0.085280771252775 379884.58559926
0.085280771253852 237.29091898176 0.085280771253851 379665.47037082
0.085280771255143 237.12939008868 0.085280771255143 379407.02414189
0.085280771256693 236.93927058847 0.085280771256692 379102.83294155
0.085280771258552 236.71601836217 0.085280771258553 378745.62937947
0.085280771260784 236.45446421741 0.085280771260784 378327.14274785
0.085280771263462 236.14883883012 0.085280771263462 377838.1421282
0.085280771266675 235.79264224388 0.085280771266676 377268.22759021
0.085280771269889 235.43862227638 0.085280771269888 376701.79564221
0.085280771273745 235.0274624164 0.085280771273744 376043.93986624
0.085280771277601 234.61868935251 0.085280771277601 375389.90296402
0.085280771281457 234.21250477434 0.085280771281456 374740.00763894
0.085280771285313 233.80897191028 0.085280771285312 374094.35505645
0.085280771289169 233.40810831399 0.085280771289169 373452.97330239
0.085280771293025 233.00999914268 0.085280771293027 372815.99862829
0.085280771296881 232.61485627221 0.08528077129688 372183.77003554
0.085280771300737 232.22286254386 0.085280771300737 371556.58007018
0.085280771304594 231.83405736419 0.085280771304595 370934.4917827
0.08528077130845 231.44804361084 0.085280771308449 370316.86977734
0.085280771310378 231.23914525556 0.085280771310379 369982.6324089
0.085280771311824 231.07427759125 0.085280771311824 369718.84414601
0.085280771312884 230.95294441428 0.085280771312883 369524.71106286
0.085280771314411 230.78241194799 0.085280771314411 369251.85911679
0.08528077131661 230.54362878495 0.08528077131661 368869.80605591
0.085280771318049 230.39093574714 0.085280771318049 368625.49719542
0.085280771319777 230.21097918151 0.085280771319775 368337.56669042
0.085280771321849 229.99921584217 0.085280771321848 367998.74534748
0.085280771324336 229.75047691639 0.085280771324335 367600.76306622
0.085280771326823 229.50225000036 0.085280771326822 367203.60000058
0.08528077132931 229.25463457134 0.085280771329309 366807.41531414
0.085280771331797 229.00765400704 0.085280771331796 366412.24641126
0.085280771334284 228.76126812789 0.085280771334284 366018.02900463
0.085280771336772 228.51539776447 0.085280771336771 365624.63642315
0.085280771339259 228.26991512427 0.085280771339258 365231.86419883
0.085280771341746 228.02463185511 0.085280771341745 364839.41096818
0.085280771344233 227.77929608921 0.085280771344232 364446.87374274
0.085280771347217 227.4908027497 0.085280771347216 363985.28439952
0.085280771350202 227.20046022547 0.0852807713502 363520.73636075
0.085280771353186 226.90732614596 0.085280771353185 363051.72183353
0.085280771356171 226.61227101081 0.08528077135617 362579.6336173
0.085280771359752 226.27676078 0.085280771359752 362042.81724799
0.08528077136405 225.89692150471 0.08528077136405 361435.07440753
0.085280771368348 225.51925859052 0.085280771368347 360830.81374483
0.085280771372645 225.14232065379 0.085280771372646 360227.71304607
0.085280771376943 224.76605892804 0.085280771376944 359625.69428487
0.085280771381241 224.39048165362 0.08528077138124 359024.77064579
0.085280771385538 224.01550439724 0.08528077138554 358424.80703558
0.085280771389836 223.6410048057 0.085280771389835 357825.60768912
0.085280771394134 223.26686390736 0.085280771394134 357226.98225178
0.085280771398431 222.89292009387 0.085280771398431 356628.67215019
0.085280771402729 222.51896616574 0.085280771402728 356030.34586518
0.085280771407027 222.14509082608 0.085280771407028 355432.14532172
0.085280771412184 221.71309829326 0.085280771412185 354740.95726921
0.085280771417341 221.28580029237 0.085280771417341 354057.28046779
0.08528077141992 221.05081990408 0.085280771419919 353681.31184654
0.085280771423014 220.77823430911 0.085280771423015 353245.17489458
0.085280771426108 220.50739605882 0.085280771426108 352811.83369412
0.085280771429203 220.23785931933 0.085280771429203 352380.57491093
0.085280771432297 219.96942083545 0.085280771432296 351951.07333673
0.085280771435391 219.7019858272 0.085280771435392 351523.17732352
0.085280771438486 219.4354560938 0.085280771438486 351096.72975008
0.08528077144158 219.16961090863 0.08528077144158 350671.37745381
0.085280771444674 218.90407532136 0.085280771444673 350246.52051417
0.085280771447769 218.63821853533 0.085280771447769 349821.14965653
0.085280771450863 218.37106507319 0.085280771450863 349393.7041171
0.085280771453957 218.10196473897 0.085280771453957 348963.14358235
0.085280771457052 217.83582719693 0.085280771457051 348537.32351508
0.085280771460765 217.5327101667 0.085280771460765 348052.33626672
0.085280771464478 217.23160400901 0.085280771464478 347570.56641441
0.085280771468191 216.93115050816 0.085280771468192 347089.84081306
0.085280771471904 216.63133220949 0.085280771471905 346610.13153519
0.085280771475618 216.33223938299 0.085280771475618 346131.58301279
0.085280771479331 216.03378920496 0.085280771479332 345654.06272794
0.085280771483044 215.73578509421 0.085280771483043 345177.25615074
0.085280771486757 215.43801084617 0.085280771486757 344700.81735387
0.08528077149047 215.14034199546 0.08528077149047 344224.54719273
0.085280771494184 214.84274707853 0.085280771494183 343748.39532565
0.085280771497897 214.54526380928 0.085280771497897 343272.42209485
0.08528077150161 214.24802982721 0.08528077150161 342796.84772354
0.085280771505323 213.95106356178 0.085280771505324 342321.70169885
0.085280771509036 213.65390922429 0.085280771509035 341846.25475887
0.08528077151275 213.3556431951 0.085280771512749 341369.02911216
0.085280771516463 213.05526744813 0.085280771516464 340888.42791701
0.085280771520919 212.70413160047 0.085280771520919 340326.61056075
0.085280771525374 212.3549253006 0.085280771525375 339767.88048096
0.085280771527602 212.16207983745 0.085280771527602 339459.32773991
0.08528077152983 211.97162299331 0.08528077152983 339154.5967893
0.085280771532058 211.78264563108 0.085280771532057 338852.23300973
0.085280771534732 211.56150385614 0.085280771534732 338498.40616983
0.085280771537405 211.34125335747 0.085280771537405 338146.00537196
0.085280771540613 211.08779533973 0.085280771540612 337740.47254357
0.085280771542217 210.95189732089 0.085280771542216 337523.03571343
0.085280771544142 210.79328280053 0.085280771544143 337269.25248085
0.085280771546452 210.60789973057 0.085280771546451 336972.63956892
0.085280771548762 210.42343972707 0.085280771548762 336677.50356331
0.085280771551534 210.20810637944 0.085280771551534 336332.9702071
0.085280771554306 209.99378405192 0.085280771554307 335990.05448307
0.085280771557078 209.78084357241 0.085280771557079 335649.34971585
0.08528077155985 209.56983403525 0.08528077155985 335311.7344564
0.085280771562622 209.36118133572 0.085280771562622 334977.89013716
0.085280771565393 209.15495923779 0.085280771565394 334647.93478047
