time ave_stress_front ave_stress_right ave_stress_top disp_x_right disp_y_top disp_z_front force_x force_y force_z
0.044684000100583 215.97975403099 273.17643145172 328.01481662846 0.044684000100583 0.044684000100583 0.044684000100583 437082.29032275 524823.70660554 345567.60644959
0.044684000104308 215.60977279781 272.98100833802 327.76911965007 0.044684000104309 0.044684000104308 0.044684000104308 436769.61334084 524430.59144011 344975.63647649
0.044684000108033 215.24307601532 272.78691616061 327.52118384441 0.044684000108034 0.044684000108034 0.044684000108034 436459.06585697 524033.89415105 344388.92162452
0.044684000109896 215.04997272513 272.68398249088 327.38736204369 0.044684000109896 0.044684000109896 0.044684000109896 436294.3719854 523819.7792699 344079.95636021
0.044684000111293 214.90030501019 272.60384392795 327.28169389071 0.044684000111294 0.044684000111293 0.044684000111293 436166.15028473 523650.71022513 343840.4880163
0.044684000112457 214.77382150911 272.53590373501 327.19095127074 0.044684000112457 0.044684000112457 0.044684000112457 436057.44597602 523505.52203318 343638.11441457
0.044684000113621 214.64815971828 272.4683547954 327.09978722777 0.044684000113621 0.044684000113622 0.044684000113622 435949.36767264 523359.65956443 343437.05554925
0.044684000114786 214.52318673702 272.40113571869 327.00812319992 0.044684000114785 0.044684000114785 0.044684000114785 435841.8171499 523212.99711988 343237.09877923
0.04468400011595 214.39879938181 272.33420268938 326.9159058618 0.04468400011595 0.04468400011595 0.04468400011595 435734.72430302 523065.44937888 343038.07901089
0.044684000117114 214.2749267829 272.26751823007 326.823094183 0.044684000117115 0.044684000117115 0.044684000117114 435628.02916812 522916.9506928 342839.88285265
0.044684000118278 214.15151586913 272.20105036322 326.72968180075 0.044684000118278 0.044684000118278 0.044684000118278 435521.68058115 522767.49088121 342642.4253906
0.044684000119442 214.02853361342 272.13477889237 326.63568458389 0.044684000119441 0.044684000119442 0.044684000119442 435415.64622779 522617.09533423 342445.65378147
0.04468400012049 213.91767046593 272.07498249977 326.55000580521 0.04468400012049 0.04468400012049 0.04468400012049 435319.97199963 522480.00928833 342268.27274548
0.044684000121538 213.80713023413 272.01534702566 326.46393274044 0.044684000121537 0.044684000121537 0.044684000121538 435224.55524106 522342.2923847 342091.40837461
0.044684000122585 213.69691893074 271.95587525973 326.37756864107 0.044684000122586 0.044684000122586 0.044684000122586 435129.40041557 522204.10982572 341915.07028918
0.044684000123633 213.58705257084 271.89658000334 326.2910861712 0.044684000123633 0.044684000123633 0.044684000123633 435034.52800535 522065.73787392 341739.28411335
0.044684000124681 213.47757409347 271.83748349902 326.20475719506 0.044684000124681 0.04468400012468 0.04468400012468 434939.97359844 521927.61151209 341564.11854956
0.044684000125728 213.3685562142 271.77862695569 326.11899345469 0.044684000125728 0.044684000125728 0.044684000125728 434845.8031291 521790.3895275 341389.68994273
0.044684000126776 213.26011474579 271.72006768959 326.03437914653 0.044684000126777 0.044684000126776 0.044684000126776 434752.10830334 521655.00663445 341216.18359326
0.044684000127824 213.1524033294 271.66189595876 325.95164389224 0.044684000127823 0.044684000127823 0.044684000127823 434659.03353401 521522.63022759 341043.84532704
0.044684000128872 213.04560008866 271.60421642501 325.87157350863 0.044684000128872 0.044684000128872 0.044684000128872 434566.74628002 521394.51761381 340872.96014185
0.044684000129919 212.93986428055 271.5471271954 325.79485826729 0.044684000129919 0.044684000129919 0.044684000129919 434475.40351264 521271.77322767 340703.78284887
0.044684000130967 212.83530280094 271.49068985735 325.72192416486 0.044684000130966 0.044684000130967 0.044684000130967 434385.10377175 521155.07866378 340536.4844815
0.044684000132038 212.72967356047 271.43369703608 325.65137981989 0.044684000132037 0.044684000132037 0.044684000132038 434293.91525773 521042.20771183 340367.47769674
0.044684000133195 212.61717684535 271.3730289309 325.57968686135 0.044684000133195 0.044684000133195 0.044684000133195 434196.84628943 520927.49897816 340187.48295256
0.044684000134418 212.49998168419 271.30986052902 325.50843485697 0.044684000134417 0.044684000134417 0.044684000134417 434095.77684643 520813.49577115 339999.97069471
0.044684000135577 212.39025981872 271.25072742394 325.44439512081 0.044684000135576 0.044684000135576 0.044684000135576 434001.1638783 520711.03219329 339824.41570995
0.044684000136909 212.2654567555 271.18346741112 325.37410635981 0.044684000136909 0.044684000136909 0.044684000136909 433893.54785779 520598.57017569 339624.7308088
0.044684000137952 212.16856309126 271.13122698426 325.32098097627 0.044684000137951 0.044684000137952 0.044684000137952 433809.96317481 520513.56956204 339469.70094601
0.044684000139134 212.05959943182 271.07245736135 325.26239708623 0.044684000139134 0.044684000139134 0.044684000139134 433715.93177816 520419.83533797 339295.35909091
0.044684000140385 211.9449585182 271.01057978828 325.20176533413 0.044684000140386 0.044684000140386 0.044684000140385 433616.92766125 520322.82453461 339111.93362912
