time ave_stress_top disp_y_top force_y
0.053684 171.12165330094 0.053684 2464151.8075336
0.054684 174.26585232014 0.054684 2509428.27341
0.055684 177.40764417877 0.055684 2554670.0761743
0.056684 180.54698635518 0.056684 2599876.6035146
0.057684 183.68383456665 0.057684 2645047.2177598
0.058684 186.81814433752 0.058684 2690181.2784603
0.059684 189.94987257504 0.059684 2735278.1650806
0.060684 193.07897682323 0.060684 2780337.2662545
0.061684 196.20541260829 0.061684 2825357.9415594
0.062684 199.32913635698 0.062684 2870339.5635405
0.063684 202.45010564256 0.063684 2915281.5212529
0.064684 205.56827674029 0.064684 2960183.1850602
0.065684 208.68360532176 0.065684 3005043.9166334
0.066684 211.79605004654 0.066684 3049863.1206702
0.067684 214.90556506148 0.067684 3094640.1368853
0.068684 218.01211041874 0.068684 3139374.3900299
0.069684 221.11564136617 0.069684 3184065.2356729
0.070684 224.21611552525 0.070684 3228712.0635636
0.071684 227.31348817542 0.071684 3273314.2297261
0.072684 230.40771874745 0.072684 3317871.1499634
0.073684 233.49876235957 0.073684 3362382.1779778
0.074684 236.58657696694 0.074684 3406846.708324
0.075684 239.67111980394 0.075684 3451264.1251768
0.076684 242.75234718566 0.076684 3495633.7994735
0.077684 245.83021831615 0.077684 3539955.1437526
0.078684 248.90468830215 0.078684 3584227.511551
0.079684 251.97571607824 0.079684 3628450.3115266
0.080684 255.04325786549 0.080684 3672622.9132631
0.081684 258.10727246339 0.081684 3716744.7234729
0.082684 261.16771641881 0.082684 3760815.1164309
0.083684 264.22454755707 0.083684 3804833.4848219
0.084684 267.27772122361 0.084684 3848799.18562
0.085684 270.32719800255 0.085684 3892711.6512367
0.086684 273.3729338714 0.086684 3936570.2477482
0.087684 276.41488816176 0.087684 3980374.3895293
0.088684 279.45301449243 0.088684 4024123.4086909
0.089684 282.48727631377 0.089684 4067816.7789183
0.090684 285.51762718104 0.090684 4111453.831407
0.091684 288.54402656512 0.091684 4155033.9825378
0.092684 291.56642780143 0.092684 4198556.5603406
0.093684 294.58479608775 0.093684 4242021.0636636
0.094684 297.59908312528 0.094684 4285426.797004
0.095684 300.60924883822 0.095684 4328773.1832704
0.096684 303.61525257801 0.096684 4372059.6371234
0.097684 306.61705002966 0.097684 4415285.5204272
0.098684 309.61459519139 0.098684 4458450.170756
0.099684 312.60785652534 0.099684 4501553.1339649
0.100684 315.59678254161 0.100684 4544593.6685991
0.101684 318.58133028642 0.101684 4587571.1561244
0.102684 321.56146219514 0.102684 4630485.05561
0.103684 324.53714174824 0.103684 4673334.8411747
0.104684 327.50831158609 0.104684 4716119.6868397
0.105684 330.47493650767 0.105684 4758839.0857105
0.106684 333.43697936867 0.106684 4801492.5029089
0.107684 336.39438245921 0.107684 4844079.1074126
0.108684 339.34711979906 0.108684 4886598.5251064
0.109684 342.29514742772 0.109684 4929050.1229591
0.110684 345.23841415694 0.110684 4971433.1638599
0.111684 348.17688352635 0.111684 5013747.1227795
0.112684 351.11050985672 0.112684 5055991.3419367
0.113684 354.03925091382 0.113684 5098165.213159
0.114684 356.96306402802 0.114684 5140268.1220034
0.115684 359.88190194384 0.115684 5182299.3879913
0.116684 362.79572441945 0.116684 5224258.4316401
0.117684 365.70449077652 0.117684 5266144.6671819
0.118684 368.60815040579 0.118684 5307957.3658434
0.119684 371.50666356472 0.119684 5349695.955332
0.120684 374.39998924385 0.120684 5391359.8451115
0.121684 377.28807781598 0.121684 5432948.3205501
0.122684 380.17088456962 0.122684 5474460.7378026
0.123684 383.04837274749 0.123684 5515896.5675639
0.124684 385.92048971826 0.124684 5557255.051943
0.125684 388.78719097455 0.125684 5598535.5500336
0.126684 391.64842938971 0.126684 5639737.3832119
0.127684 394.50416419711 0.127684 5680859.9644385
0.128684 397.35434712079 0.128684 5721902.5985393
0.129684 400.19892343711 0.129684 5762864.4974943
0.130684 403.03785150875 0.130684 5803745.061726
0.131684 405.87108487319 0.131684 5844543.6221739
0.132684 408.69857059236 0.132684 5885259.41653
0.133684 411.52026567042 0.133684 5925891.825654
0.134684 414.33610909606 0.134684 5966439.9709833
0.135684 417.14606596411 0.135684 6006903.3498832
0.136684 419.9500715145 0.136684 6047281.0298088
0.137684 422.74807000487 0.137684 6087572.2080701
0.138684 425.54001664324 0.138684 6127776.2396627
0.139684 428.32586178134 0.139684 6167892.4096512
0.140684 431.10553475247 0.140684 6207919.7004356
0.141684 433.87898545168 0.141684 6247857.3905042
