time ave_stress_front ave_stress_right ave_stress_top disp_x_right disp_y_top disp_z_front force_x force_y force_z
0 0 0 0 0 0 0 0 0 0
0.0005 5.7695752926679 1.2284932670095e-10 5.7585982837113 -0.00029497792730568 0.0005 0.0005 1.9655892265149e-07 9213.757253938 9231.3204682687
0.00075 8.6542266994278 5.4242103680185e-10 8.6377613141122 -0.00044246152589402 0.00075 0.00075 8.6787365971925e-07 13820.41810258 13846.762719084
0.00105 12.115679632898 1.249306409469e-09 12.092628130372 -0.00061943670457045 0.00105 0.00105 1.9988902550657e-06 19348.205008595 19385.087412637
0.00141 16.269074811845 1.1230948498801e-09 16.238120196409 -0.0008317931602289 0.00141 0.00141 1.7969517599151e-06 25980.992314255 26030.519698952
0.001842 21.252459704621 5.272652862879e-09 21.212021464328 -0.001086593631172 0.001842 0.001842 8.4362445806141e-06 33939.234342924 34003.935527394
0.0023604 27.231203728283 6.5987588659076e-09 27.179385974011 -0.001392302015917 0.0023604 0.0023604 1.0558014186848e-05 43487.017558418 43569.925965252
0.00298248 34.403238442887 7.3270679245598e-09 34.33776617825 -0.0017590547008248 0.00298248 0.00298248 1.1723308681277e-05 54940.4258852 55045.181508619
0.003728976 43.005170464042 4.1710978688006e-09 42.92331476542 -0.0021989793796935 0.003728976 0.003728976 6.6737565923702e-06 68677.303624672 68808.272742468
0.0046247712 53.319321199939 1.559298309986e-09 53.217808943803 -0.0027265656356837 0.0046247712 0.0046247712 2.4948773030305e-06 85148.494310086 85310.913919903
0.0056247712 64.817909448098 9.242584699011e-09 64.694460346312 -0.0033149150173778 0.0056247712 0.0056247712 1.4788135524086e-05 103511.1365541 103708.65511696
0.0066247712 76.29241201185 8.3514820417921e-09 76.147036884151 -0.0039023100136775 0.0066247712 0.0066247712 1.3362371273226e-05 121835.25901464 122067.85921896
0.0076247712 87.741078661005 1.3649932780399e-08 87.573788365163 -0.004488680536832 0.0076247711999999 0.0076247712 2.1839892452296e-05 140118.06138426 140385.72585761
0.0086247712 99.159610847226 9.8454471544884e-09 98.970418568592 -0.0050738552948983 0.0086247712 0.0086247712 1.5752715459112e-05 158352.66970975 158655.37735556
0.0096247712 110.54372520637 6.1519118320363e-09 110.33264490184 -0.0056576629139381 0.0096247712000001 0.0096247712000001 9.84305894002e-06 176532.23184295 176869.9603302
0.0106247712 121.8891521735 1.0912991347187e-08 121.65620040214 -0.0062399329793964 0.0106247712 0.0106247712 1.7460786165544e-05 194649.92064343 195022.6434776
0.0116247712 133.19164624429 1.5054686628227e-08 132.93684070836 -0.0068204948683724 0.0116247712 0.0116247712 2.4087498614412e-05 212698.94513338 213106.63399086
0.0126247712 144.4469821938 9.3593238580103e-09 144.17034248684 -0.0073991784864762 0.0126247712 0.0126247712 1.4974918180248e-05 230672.54797895 231115.17151008
0.0136247712 155.65096115059 1.0592750629979e-08 155.35250739423 -0.0079758138546674 0.0136247712 0.0136247712 1.6948401028787e-05 248564.01183077 249041.53784095
0.0146247712 166.79940823077 1.6194335967015e-08 166.4791635679 -0.0085502315816392 0.0146247712 0.0146247712 2.5910937541594e-05 266366.66170865 266879.05316923
0.0156247712 177.888175634 1.8219445006573e-08 177.54616422827 -0.0091222628442479 0.0156247712 0.0156247712 2.91511120071e-05 284073.86276523 284621.0810144
0.0166247712 188.91314784017 3.0278018699204e-08 188.54939447725 -0.0096917389950397 0.0166247712 0.0166247712 4.8444829934466e-05 301679.0311636 302261.03654428
0.0176247712 199.87023973659 2.5050255818004e-08 199.48477074211 -0.010258491870194 0.0176247712 0.0176247712 4.0080409331793e-05 319175.63318738 319792.38357854
0.0186247712 210.75539683633 1.6452477685502e-08 210.34824007839 -0.010822354169311 0.0186247712 0.0186247712 2.6323964305237e-05 336557.18412542 337208.63493813
0.0196247712 221.56460091696 4.2169621879418e-08 221.13578508252 -0.01138315879216 0.0196247712 0.0196247712 6.7471395026713e-05 353817.25613204 354503.36146714
0.0206247712 232.29387141687 1.9684311196727e-08 231.84342727885 -0.011940738671249 0.0206247712 0.0206247712 3.149489793731e-05 370949.48364616 371670.19426699
0.0216247712 242.93926182032 3.2055619788723e-08 242.46721962418 -0.012494928008696 0.0216247712 0.0216247712 5.1288991681594e-05 387947.55139868 388702.81891251
0.0226247712 253.49686539818 2.492156412931e-08 253.00325751064 -0.013045560889911 0.0226247712 0.0226247712 3.9874502613434e-05 404805.21201703 405594.98463709
0.0236247712 263.96281186057 1.2923174658869e-08 263.44767108792 -0.013592472675573 0.0236247712 0.0236247712 2.0677079475042e-05 421516.27374067 422340.49897692
0.0246247712 274.33327392787 1.867743577369e-08 273.79663504879 -0.014135498288211 0.0246247712 0.0246247712 2.9883897218337e-05 438074.61607806 438933.23828458
0.0256247712 284.60446245757 7.5525056977832e-09 284.04636153671 -0.014674473805277 0.0256247712 0.0256247712 1.2084009124949e-05 454474.17845874 455367.13993212
0.0266247712 294.77263118026 1.434415745169e-08 294.19310417072 -0.015209235084584 0.0266247712 0.0266247712 2.2950651944758e-05 470708.96667316 471636.20988841
0.0276247712 304.83407133915 1.9869558793018e-08 304.23315759342 -0.015739618994914 0.0276247712 0.0276247712 3.1791294063611e-05 486773.05214947 487734.51414263
0.0286247712 314.78511492904 1.2377257441881e-08 314.16285393942 -0.016265462805996 0.0286247712 0.0286247712 1.9803611916421e-05 502660.56630308 503656.18388646
0.0296247712 324.62213719181 2.6150441983785e-08 323.97857231938 -0.016786603262649 0.0296247712 0.0296247712 4.1840707167611e-05 518365.71571101 519395.4195069
0.0306247712 334.34154910827 1.1409128182482e-08 333.67672309218 -0.017302878148363 0.0306247712 0.0306247712 1.8254605092335e-05 533882.75694749 534946.47857323
0.0316247712 343.93979944766 1.9111129675453e-08 343.25376054313 -0.017814124875127 0.0316247712 0.0316247712 3.0577807482697e-05 549206.01686901 550303.67911626
0.0326247712 353.41337440736 1.1652382276572e-08 352.70617451469 -0.018320180882542 0.0326247712 0.0326247712 1.8643811658012e-05 564329.87922351 565461.39905177
0.0336247712 362.75879026423 1.3880176950032e-08 362.03048506582 -0.018820883785478 0.0336247712 0.0336247712 2.2208283134523e-05 579248.77610531 580414.06442276
0.0346247712 371.97259743077 1.8427016507394e-08 371.22324914797 -0.019316070277604 0.0346247712 0.0346247712 2.94832264139e-05 593957.19863675 595156.15588923
0.0356247712 381.05136833542 2.1599506816738e-08 380.28104348742 -0.019805577175618 0.035624771199999 0.0356247712 3.4559210907359e-05 608449.66957987 609682.18933667
0.0366247712 389.99169914269 2.0947750253852e-08 389.20047848028 -0.020289239790759 0.0366247712 0.0366247712 3.3516400382026e-05 622720.76556845 623986.71862831
0.0376247712 398.79019975879 2.1992133900361e-08 397.978171467 -0.020766892960942 0.0376247712 0.0376247712 3.5187414237098e-05 636765.0743472 638064.31961406
0.0386247712 407.44348926083 7.1249754129976e-09 406.61075838174 -0.021238369492427 0.038624771199999 0.0386247712 1.1399960651047e-05 650577.21341079 651909.58281733
0.0396247712 415.94818332279 3.3343424108712e-08 415.09487247896 -0.02170350059364 0.0396247712 0.0396247712 5.334947855602e-05 664151.79596635 665517.09331646
0.0406247712 424.30088536443 1.5001472674914e-08 423.42714244451 -0.022162114967349 0.0406247712 0.0406247712 2.4002356275311e-05 677483.42791122 678881.41658308
0.0416247712 432.49817279327 2.0159948046772e-08 431.60417608896 -0.022614037951496 0.041624771199999 0.0416247712 3.2255916866307e-05 690566.68174234 691997.07646924
0.0426247712 440.53657941363 1.8757688700077e-08 439.62254625218 -0.023059090969582 0.0426247712 0.0426247712 3.0012301875991e-05 703396.0740035 704858.52706181
0.0436247712 448.41257169217 1.240245212919e-08 447.47877229011 -0.023497090486186 0.0436247712 0.0436247712 1.9843923390658e-05 715966.03566418 717460.11470746
0.0446247712 456.1225239802 1.4137633809475e-08 455.16929601629 -0.023927846609184 0.044624771199999 0.0446247712 2.2620214057747e-05 728270.87362607 729796.03836832
