time ave_stress_top disp_y_top force_y
0 0 0 0
0.0005 1.6041666653126 0.0005 23099.999980501
0.0011 3.5291674130808 0.0011 50820.010748363
0.00182 5.8391522340561 0.00182 84083.792170408
0.002684 8.6111043975505 0.002684 123999.90332473
0.003684 11.819303426946 0.003684 170197.96934802
0.004684 15.027358196052 0.004684 216393.95802315
0.005684 18.235232931716 0.005684 262587.35421671
0.006684 21.442877872407 0.006684 308777.44136267
0.007684 24.650252073981 0.007684 354963.62986533
0.008684 27.857308709432 0.008684 401145.24541582
0.009684 31.064006021899 0.009684 447321.68671535
0.010684 34.270292299122 0.010684 493492.20910736
0.011684 37.47612477465 0.011684 539656.19675496
0.012684 40.681475536513 0.012684 585813.24772578
0.013684 43.88627148372 0.013684 631962.30936556
0.014684 47.090476216989 0.014684 678102.85752464
0.015684 50.294048348331 0.015684 724234.29621597
0.016684 53.496947543626 0.016684 770356.04462821
0.017684 56.699118112036 0.017684 816467.30081331
0.018684 59.900523758644 0.018684 862567.54212447
0.019684 63.101118553543 0.019684 908656.10717103
0.020684 66.3008503792 0.020684 954732.24546048
0.021684 69.499680992549 0.021684 1000795.4062927
0.022684 72.697559122198 0.022684 1046844.8513597
0.023684 75.894448060494 0.023684 1092880.0520711
0.024684 79.090295434126 0.024684 1138900.2542514
0.025684 82.285066806989 0.025684 1184904.9620206
0.026684 85.478701964778 0.026684 1230893.3082928
0.027684 88.671166361477 0.027684 1276864.7956053
0.028684 91.862412395549 0.028684 1322818.7384959
0.029684 95.052390756892 0.029684 1368754.4268992
0.030684 98.241069416371 0.030684 1414671.3995957
0.031684 101.42839619959 0.031684 1460568.905274
0.032684 104.61432593036 0.032684 1506446.2933971
0.033684 107.79881419134 0.033684 1552302.9243553
0.034684 110.98181634245 0.034684 1598138.1553312
0.035684 114.16328749164 0.035684 1643951.3398796
0.036684 117.34318343865 0.036684 1689741.8415166
0.037684 120.52145878325 0.037684 1735509.0064788
0.038684 123.69806952077 0.038684 1781252.2010991
0.039684 126.8729713589 0.039684 1826970.7875682
0.040684 130.04611936866 0.040684 1872664.1189087
0.041684 133.21746916689 0.041684 1918331.5560032
0.042684 136.38697667132 0.042684 1963972.464067
0.043684 139.55459712278 0.043684 2009586.198568
0.044684 142.72028635376 0.044684 2055172.1234941
0.045684 145.88399974084 0.045684 2100729.5962682
0.046684 149.04569407768 0.046684 2146257.9947186
0.047684 152.20532381819 0.047684 2191756.6629819
0.048684 155.36284500014 0.048684 2237224.9680021
0.049684 158.51821395068 0.049684 2282662.2808898
0.050684 161.67138567886 0.050684 2328067.9537757
0.051684 164.82231747098 0.051684 2373441.3715821
0.052684 167.9709641221 0.052684 2418781.8833583
0.053684 171.11728243787 0.053684 2464088.8671053
0.054684 174.2612279982 0.054684 2509361.6831741
0.055684 177.402756613 0.055684 2554599.6952273
0.056684 180.54182542348 0.056684 2599802.2860982
0.057684 183.67839018125 0.057684 2644968.81861
0.058684 186.81240515661 0.058684 2690098.6342553
0.059684 189.94383034439 0.059684 2735191.1569592
0.060684 193.07261935549 0.060684 2780245.7187191
0.061684 196.19872752294 0.061684 2825261.6763304
0.062684 199.32211656258 0.062684 2870238.4785011
0.063684 202.44273708458 0.063684 2915175.414018
0.064684 205.56054872757 0.064684 2960071.9016769
0.065684 208.67550483362 0.065684 3004927.2696042
0.066684 211.78756604792 0.066684 3049740.9510901
0.067684 214.89668813948 0.067684 3094512.3092085
0.068684 218.00282592281 0.068684 3139240.6932885
0.069684 221.1059377176 0.069684 3183925.5031335
0.070684 224.2059788481 0.070684 3228566.0954126
0.071684 227.30290680745 0.071684 3273161.8580273
0.072684 230.39667744429 0.072684 3317712.1551977
0.073684 233.48725026801 0.073684 3362216.4038593
0.074684 236.57457937527 0.074684 3406673.9430039
0.075684 239.65862345487 0.075684 3451084.1777501
0.076684 242.73933773217 0.076684 3495446.4633433
0.077684 245.81668110209 0.077684 3539760.2078701
0.078684 248.89061033714 0.078684 3584024.7888548
0.079684 251.96108237281 0.079684 3628239.5861685
0.080684 255.02805333793 0.080684 3672403.9680662
0.081684 258.09148224213 0.081684 3716517.3442867
0.082684 261.15132498671 0.082684 3760579.0798087
0.083684 264.20753943521 0.083684 3804588.5678671
0.084684 267.26008348051 0.084684 3848545.2021193
0.085684 270.30891331852 0.085684 3892448.3517867
0.086684 273.35398599327 0.086684 3936297.3983031
0.087684 276.39525820677 0.087684 3980091.7181774
0.088684 279.43269192936 0.088684 4023830.7637828
0.089684 282.46624062861 0.089684 4067513.865052
0.090684 285.49585961757 0.090684 4111140.3784931
0.091684 288.52151395654 0.091684 4154709.8009741
0.092684 291.54315254009 0.092684 4198221.3965774
0.093684 294.56073680386 0.093684 4241674.6099756
0.094684 297.57422813467 0.094684 4285068.8851393
0.095684 300.58357563129 0.095684 4328403.4890905
0.096684 303.58874124733 0.096684 4371677.8739616
0.097684 306.58968799671 0.097684 4414891.5071526
0.098684 309.58636177746 0.098684 4458043.6095954
0.099684 312.57873192239 0.099684 4501133.7396824
