time ave_stress_top disp_y_top force_y
0 0 0 0
0.0005 4.2737008861211 0.0005 6837.9214177938
0.00075 6.4105094926344 0.00075 10256.815188215
0.00105 8.9746409691732 0.00105 14359.425550677
0.00141 12.051492420533 0.00141 19282.387872853
0.001842 15.743502946269 0.001842 25189.604714031
0.0023604 20.173512809983 0.0023604 32277.620495972
0.00298248 25.488774026469 0.00298248 40782.03844235
0.003728976 31.865708675518 0.003728976 50985.133880829
0.0046247712 39.515532058706 0.0046247712 63224.851293929
0.0056247712 48.05053275255 0.0056247712 76880.852404081
0.0066247712 56.578162064337 0.0066247712 90525.059302939
0.0076247712 65.097882127902 0.0076247711999999 104156.61140464
0.0086247712 73.608368566338 0.0086247712 117773.38970614
0.0096247712 82.108300907637 0.0096247712000001 131373.28145222
0.0106247712 90.596360226134 0.0106247712 144954.17636181
0.0116247712 99.071233748389 0.0116247712 158513.97399742
0.0126247712 107.53160362476 0.0126247712 172050.56579962
0.0136247712 115.97616083536 0.0136247712 185561.85733658
0.0146247712 124.40360216628 0.0146247712 199045.76346605
0.0156247712 132.81262095213 0.0156247712 212500.19352341
0.0166247712 141.20191842803 0.0166247712 225923.06948484
0.0176247712 149.57019868894 0.0176247712 239312.3179023
0.0186247712 157.91617373932 0.0186247712 252665.87798291
0.0196247712 166.23855326197 0.0196247712 265981.68521915
0.0206247712 174.53605898631 0.0206247712 279257.69437809
0.0216247712 182.80741113281 0.0216247712 292491.8578125
0.0226247712 191.05133896364 0.0226247712 305682.14234182
0.0236247712 199.26657335844 0.0236247712 318826.51737351
0.0246247712 207.45185260006 0.0246247712 331922.9641601
0.0256247712 215.6059233662 0.0256247712 344969.47738593
0.0266247712 223.7275348204 0.0266247712 357964.05571264
0.0276247712 231.81543788154 0.0276247712 370904.70061047
0.0286247712 239.8683917535 0.0286247712 383789.4268056
0.0296247712 247.88516634282 0.0296247712 396616.26614852
0.0306247712 255.86452688071 0.0306247712 409383.24300914
0.0316247712 263.8052534842 0.0316247712 422088.40557471
0.0326247712 271.7061230386 0.0326247712 434729.79686176
0.0336247712 279.56592737844 0.0336247712 447305.48380551
0.0346247712 287.38345233862 0.0346247712 459813.52374179
0.0356247712 295.15749457257 0.035624771199999 472251.99131612
0.0366247712 302.88685319265 0.0366247712 484618.96510824
0.0376247712 310.57033254349 0.0376247712 496912.53206959
0.0386247712 318.20673812449 0.038624771199999 509130.78099918
0.0396247712 325.7948793525 0.0396247712 521271.806964
0.0406247712 333.33356856969 0.0406247712 533333.7097115
0.0416247712 340.821616365 0.041624771199999 545314.58618399
0.0426247712 348.25783682451 0.0426247712 557212.53891921
0.0436247712 355.64104160465 0.0436247712 569025.66656744
0.0446247712 362.97003950278 0.044624771199999 580752.06320445
0.0456247712 370.24363793256 0.0456247712 592389.8206921
0.0466247712 377.46063830101 0.046624771200001 603937.02128161
0.0476247712 384.61983075043 0.047624771199999 615391.7292007
0.0486247712 391.71999986507 0.0486247712 626751.99978411
0.0496247712 398.75991668724 0.049624771200001 638015.86669958
0.0506247712 405.7383337491 0.0506247712 649181.33399855
0.0516247712 412.6539843556 0.0516247712 660246.37496896
0.0526247712 419.50557592301 0.052624771200001 671208.92147681
0.0536247712 426.29177961748 0.0536247712 682066.84738796
0.0546247712 433.01122968641 0.054624771199999 692817.96749825
0.0556247712 439.66250291783 0.055624771200001 703460.00466853
0.0566247712 446.24411531523 0.0566247712 713990.58450437
0.0576247712 452.7544916337 0.057624771199999 724407.18661393
0.0586247712 459.19194362014 0.058624771200001 734707.10979223
0.0596247712 465.55463489311 0.0596247712 744887.41582897
0.0606247712 471.84052189814 0.060624771199999 754944.83503703
0.0616247712 478.04727393159 0.061624771200001 764875.63829054
0.0626247712 484.17216669904 0.0626247712 774675.46671847
0.0636247712 490.21193102807 0.063624771199999 784339.08964491
0.0646247712 496.16258278154 0.0646247712 793860.13245046
0.0656247712 502.01916717445 0.0656247712 803230.66747913
0.0666247712 507.77480516827 0.066624771199999 812439.68826924
0.0676247712 513.41850165222 0.0676247712 821469.60264356
0.0686247712 518.93400193563 0.0686247712 830294.40309701
0.0696247712 524.30781851567 0.069624771199999 838892.50962507
0.0701247712 525.78900123598 0.0701247712 841262.40197756
0.0706247712 528.12225226574 0.070624771200001 844995.60362519
0.0711247712 530.44858967557 0.0711247712 848717.74348091
0.0716247712 532.70732871706 0.0716247712 852331.72594729
0.0721247712 534.84989820945 0.0721247712 855759.83713512
0.0726247712 536.81411080343 0.072624771199999 858902.57728549
0.0731247712 538.5288183315 0.0731247712 861646.10933041
0.0736247712 539.98818708529 0.073624771200001 863981.09933646
0.0738747712 539.41131506097 0.073874771200001 863058.10409756
0.0741247712 539.24450384089 0.0741247712 862791.20614543
0.0743747712 539.16114375609 0.074374771199999 862657.83000975
0.0744997712 538.27214679135 0.074499771200001 861235.43486615
0.0746247712 537.70599789658 0.0746247712 860329.59663453
0.0746872712 536.74085644187 0.074687271199999 858785.37030699
0.0747185212 535.66868473077 0.074718521199999 857069.89556924
0.0747341462 534.49711534 0.074734146200001 855195.384544
0.0747419587 533.2339105778 0.074741958700001 853174.25692448
0.0747497712 531.97867172138 0.074749771199999 851165.87475421
0.07475367745 530.65275144691 0.07475367745 849044.40231506
0.074755630575 529.11708739431 0.074755630574999 846587.33983089
0.0747575837 527.2165362762 0.074757583699999 843546.45804192
0.07475992745 525.07265846069 0.074759927450001 840116.25353711
0.0747622712 522.89205242672 0.074762271200001 836627.28388276
0.07476461495 520.60910620066 0.074764614949999 832974.56992106
