stress_yy total_strain_yy
0 0
68.771936368321 0.0010004999999998
137.48787619204 0.0020019999999999
206.14801483438 0.0030044999999999
274.75254670954 0.004008
319.65284609763 0.0050124999999999
320.10663981072 0.006018
320.55998305369 0.0070244999999999
321.01287672123 0.008032
321.46532170477 0.0090404999999999
321.91731889301 0.01005
322.36886917214 0.0110605
322.81997342559 0.012072
323.27063253425 0.0130845
323.72084737641 0.014098
324.17061882766 0.0151125
324.61994776118 0.016128
325.06883504739 0.0171445
325.51728155426 0.018162
325.96528814717 0.0191805
326.41285568896 0.0202
326.85998503988 0.0212205
327.30667705774 0.022242
327.75293259777 0.0232645
328.19875251274 0.024288
328.64413765289 0.0253125
329.08908886595 0.026338
329.53360699725 0.0273645
329.97769288956 0.028392
330.42134738329 0.0294205
330.86457131629 0.03045
331.30736552407 0.0314805
331.74973083964 0.032512
332.19166809362 0.0335445
332.63317811424 0.034578
333.07426172728 0.0356125
333.51491975617 0.036648
333.95515302192 0.0376845
334.3949623432 0.038722
334.83434853629 0.0397605
335.27331241513 0.0408
335.71185479128 0.0418405
336.14997647404 0.042882
336.58767827029 0.0439245
337.02496098465 0.044968
337.46182541943 0.0460125
337.89827237453 0.047058
338.33430264775 0.0481045
338.76991703444 0.049152
339.20511632774 0.0502005
339.63990131853 0.05125
340.07427279541 0.0523005
340.50823154472 0.053352
306.74100975617 0.0544045
276.80687678168 0.055458
253.2672102109 0.0565125
234.15543004553 0.057568
218.25686921315 0.0586245
204.77579787773 0.059682
193.16648992896 0.0607405
183.0406755006 0.0618
174.11366340741 0.0628605
166.17139087888 0.063922
159.04942959863 0.0649845
152.61913989877 0.066048
146.77826557673 0.0671125
141.44437972908 0.068178
136.55021413382 0.0692445
132.04026461999 0.070312
127.86828021966 0.0713805
123.99537666942 0.07245
120.38859886412 0.0735205
117.01981133841 0.074592
113.8648319225 0.0756645
110.9027480589 0.076738
108.11537199342 0.0778125
105.4868027265 0.078888
103.00307087851 0.0799645
100.65184856242 0.081042
98.42221067031 0.0821205
96.304437156198 0.0832
94.289848259246 0.0842805
92.370666379242 0.085362
90.53989966449 0.0864445
88.791243396271 0.087528
87.118996045347 0.0886125
85.517987495158 0.089698
83.983517402463 0.0907845
82.511302049865 0.091872
81.09742834371 0.0929605
79.738313850551 0.09405
78.43067196003 0.0951405
77.171481415211 0.096232
75.957959579483 0.0973245
74.787538911694 0.098418
73.657846204095 0.0995125
72.566684209931 0.100608
71.51201534134 0.1017045
70.491947169571 0.102802
69.504719496113 0.1039005
68.548692798427 0.105
67.622337880965 0.1061005
66.724226586262 0.107202
65.853023440408 0.1083045
65.00747812382 0.109408
64.186418673079 0.1105125
63.388745331985 0.111618
62.613424978993 0.1127245
61.859486069625 0.113832
61.126014037803 0.1149405
60.412147108212 0.11605
59.717072477113 0.1171605
59.0400228237 0.118272
58.380273119153 0.1193845
57.737137703814 0.120498
57.109967606155 0.1216125
56.498148080522 0.122728
55.901096342871 0.1238445
55.318259485985 0.124962
54.749112557753 0.1260805
54.193156787385 0.1272
53.649917946782 0.1283205
53.118944834717 0.129442
52.599807873408 0.1305645
52.0920978075 0.131688
51.595424497118 0.1328125
51.109415796713 0.133938
50.633716512976 0.1350645
50.167987435087 0.136192
49.711904431445 0.1373205
49.26515760777 0.13845
48.827450521606 0.1395805
48.398499448816 0.140712
47.978032698074 0.1418445
47.565789969705 0.142978
47.161521755657 0.1441125
46.764988777241 0.145248
46.375961458237 0.1463845
45.99421943036 0.147522
45.619551069315 0.1486605
45.251753058577 0.1498
44.890629979636 0.1509405
44.535993926236 0.152082
44.187664141487 0.1532245
43.845466675871 0.154368
43.509234065 0.1555125
43.178805025618 0.156658
42.854024168899 0.1578045
42.534741729427 0.158952
42.220813309497 0.1601005
41.912099637108 0.16125
41.608466337295 0.1624005
41.309783715478 0.163552
41.015926552615 0.1647045
40.726773910862 0.165858
40.442208949595 0.1670125
40.162118750795 0.168168
39.886394153466 0.1693245
39.614929596357 0.170482
39.347622968764 0.1716405
39.084375468593 0.1728
38.825091523201 0.1739605
38.569678436227 0.175122
38.318046606598 0.1762845
38.070109182546 0.177448
37.825782009205 0.1786125
37.584983523217 0.179778
37.34763465233 0.1809445
37.113658719745 0.182112
36.882981352794 0.1832805
36.655530395813 0.18445
36.431235827043 0.1856205
36.210029679228 0.186792
35.99184596374 0.1879645
35.776620598172 0.189138
35.564291337006 0.1903125
35.354797705412 0.191488
35.148080935811 0.1926645
34.944083907328 0.193842
34.742751087635 0.1950205
34.544028477431 0.1962
34.347863557199 0.1973805
34.154205236113 0.198562
33.963003803222 0.1997445
33.77421088049 0.200928
33.587779377852 0.2021125
33.403663450082 0.203298
33.22181845535 0.2044845
33.042200915482 0.205672
32.864768477819 0.2068605
32.689479878534 0.20805
32.516294907378 0.2092405
32.345174373886 0.210432
32.17608007479 0.2116245
32.008974762728 0.212818
31.843822116159 0.2140125
31.680586710397 0.215208
31.519233989742 0.2164045
31.359730240651 0.217602
31.202042565917 0.2188005
31.046138859785 0.22
