d ep stress_yy total_strain_yy
0 0 0 0
0 0 17.198244487881 0.00025003125000012
0 0 34.39297999966 0.00050012499999996
0 0 51.584209604609 0.00075028124999998
0 0 68.771936368333 0.0010004999999998
0 0 85.956163352665 0.00125078125
0 0 103.13689361576 0.0015011250000001
0 0 120.31413021198 0.0017515312499999
0 0 137.48787619204 0.0020019999999999
0 0 154.6581346029 0.0022525312500001
0 0 171.8249084878 0.0025031249999999
0 0 188.98820088633 0.00275378125
0 0 206.14801483436 0.0030044999999999
0 0 223.30435336401 0.00325528125
0 0 240.45721950387 0.003506125
0 0 257.60661627864 0.0037570312499999
0 0 274.75254670956 0.004008
0 0 291.89501381403 0.00425903125
0.0018106393056101 0 298.29153444049 0.0045101249999999
0.0047671355173009 7.3366293169897e-05 290.80373819543 0.0047612812500001
0.0071258109167138 0.00024901339412091 277.69644885901 0.0050124999999999
0.0094761247863088 0.00042774536362 265.26895548687 0.0052637812499999
0.011804006698572 0.00060900531975316 253.56318397827 0.0055151250000001
0.014097709154166 0.00079225443503052 242.59515708556 0.0057665312499999
0.016348028700345 0.00097699854284528 232.35913624487 0.006018
0.018548238551221 0.0011628037440854 222.83273159585 0.0062695312500001
0.02069383282836 0.0013493024287882 213.9819896373 0.0065211249999999
0.022782175316219 0.0015361922559424 205.76585307146 0.00677278125
0.024812124959941 0.0017232307545821 198.13972291556 0.0070244999999999
0.026783684424474 0.0019102277479831 191.05809422995 0.00727628125
0.028697695485521 0.0020970371532952 184.4763728438 0.0075281250000001
0.030555589133767 0.002283549108837 178.35203434699 0.0077800312499999
0.032359188713103 0.00246968292404 172.64529021829 0.008032
0.034110559730873 0.0026553810427489 167.31940450983 0.0082840312500001
0.035811898319862 0.002840604029065 162.34077507737 0.008536125
0.037465450443841 0.0030253264905673 157.67886443445 0.0087882812500001
0.039073454847871 0.0032095338140405 153.30604091626 0.0090404999999999
0.040638103946904 0.00339321958086 149.19737179845 0.00929278125
0.042161518025872 0.0035763835375223 145.33039594777 0.009545125
0.043645729161102 0.0037590300122243 141.68489357923 0.0097975312499999
0.045092672143718 0.0039411666858508 138.24266375778 0.01005
0.046504180360022 0.0041228036422144 134.98731566181 0.01030253125
0.047881985124719 0.004303952637185 131.90407655367 0.010555125
0.049227717358471 0.0044846265386371 128.97961748389 0.01080778125
0.050542911755163 0.0046648389106084 126.20189455259 0.0110605
0.051829007032381 0.0048446036426393 123.56001724975 0.01131328125
0.053087356864512 0.0050239347797494 121.04411064491 0.011566125
0.054319230558312 0.0052028462890201 118.64521425989 0.01181903125
0.055525819281655 0.0053813519395436 116.35518176892 0.012072
0.056708241076744 0.0055594652056825 114.166594503 0.01232503125
0.057867545714688 0.0057371991988276 112.07268498511 0.012578125
0.059004719335143 0.0059145666210395 110.06726932554 0.01283128125
0.060120688839489 0.0060915797354524 108.14468741992 0.0130845
0.061216326021848 0.0062682503494514 106.29975000761 0.01333778125
0.062292451430952 0.0064445898074906 104.52769176088 0.013591125
0.063349837968278 0.0066206089911696 102.82412966623 0.01384453125
0.064389214230239 0.0067963183246884 101.18502605365 0.014098
0.065411267605315 0.0069717277842195 99.606655710838 0.01435153125
0.066416647140238 0.0071468469100839 98.085576586908 0.014605125
0.067405966188862 0.0073216848208543 96.61860365629 0.01485878125
0.068379804860192 0.0074962502287329 95.202785563044 0.0151125
0.069338712277062 0.0076705514556652 93.83538372185 0.01536628125
0.070283208662869 0.0078445964498306 92.513853583411 0.015620125
0.071213787267171 0.0080183928021923 91.235827817098 0.01587403125
0.072130916143682 0.0081919477628944 89.999101190285 0.016128
0.073035039793692 0.0083652682573538 88.801616950242 0.01638203125
0.073926580683022 0.0085383609019068 87.641454544441 0.016636125
0.074805940646084 0.008711232018958 86.516818526713 0.01689028125
0.075673502184109 0.0088838876515567 85.426028522523 0.0171445
0.076529629666559 0.009056333577371 84.367510138702 0.01739878125
0.077374670444296 0.0092285753220463 83.339786715967 0.017653125
0.078208955881856 0.0094006181719488 82.34147183546 0.01790753125
0.07903280231394 0.0095724671862787 81.371262502688 0.018162
0.07984651193455 0.0097441272085881 80.427932936561 0.01841653125
0.080650373622214 0.0099156028777009 79.51032890457 0.018671125
0.081444663707451 0.010086898638062 78.617362548234 0.01892578125
0.082229646686572 0.010258018749532 77.748007650947 0.0191805
0.08300557588756 0.01042896729667 76.901295303297 0.01943528125
0.083772694089276 0.010599748197494 76.076309930503 0.019690125
0.084531234099451 0.010770365211771 75.2721856453 0.01994503125
0.085281419294336 0.010940821948854 74.488102896167 0.0202
0.086023464123096 0.011111121875085 73.723285383168 0.02045503125
0.086757574578419 0.01128126832079 72.976997218343 0.020710125
0.087483948637752 0.011451264486886 72.248540306326 0.02096528125
0.088202776676148 0.011621113451134 71.537251926814 0.0212205
0.088914241852684 0.011790818174031 70.842502501215 0.02147578125
0.089618520473456 0.011960381504396 70.163693526223 0.021731125
0.090315782331551 0.012129806184637 69.500255661235 0.02198653125
0.091006191027026 0.012299094855744 68.851646955098 0.022242
0.09168990426704 0.012468250061996 68.217351201743 0.02249753125
0.092367074147976 0.012637274255427 67.596876413458 0.022753125
0.093037847421611 0.012806169800044 66.989753401352 0.02300878125
0.093702365745151 0.01297493897582 66.395534455556 0.0232645
0.094360765917147 0.013143583982485 65.813792116163 0.02352028125
0.095013180099513 0.013312106943097 65.244118028461 0.023776125
0.095659736027649 0.013480509907442 64.686121874763 0.02403203125
0.096300557208359 0.013648794855255 64.13943037793 0.024288
0.096935763106844 0.013816963699262 63.60368637052 0.02454403125
